,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
57102,Vacant/Abandoned Building,17-00331836,2017-01-19,Rear,,Open,GARAGE,Vacant,False,False,8040.0,S,SOUTH SHORE,DR,60617.0,1198548.93922636,1852259.544428,7.0,4.0,46.0,41.7494252297462,-87.5480030988397,"(41.7494252297462, -87.54800309883971)"
57103,Vacant/Abandoned Building,17-00356239,2017-01-20,Rear,,Open,FRONT AND BACK,Vacant,False,True,1507.0,E,71ST,PL,60619.0,1187511.52819649,1857884.12580483,7.0,3.0,43.0,41.76512892906087,-87.58826944191559,"(41.765128929060864, -87.5882694419156)"
57104,Vacant/Abandoned Building,17-00359538,2017-01-20,Front,,Boarded,NO,Vacant,True,False,12620.0,S,WALLACE,ST,60628.0,1174611.33501637,1821125.05010457,9.0,5.0,53.0,41.664553731177385,-87.63664237802105,"(41.66455373117738, -87.63664237802104)"
57105,Vacant/Abandoned Building,17-00070673,2017-01-04,,,,,,,,1135.0,N,SPRINGFIELD,AVE,60651.0,1150176.44887514,1907290.62080205,37.0,11.0,23.0,41.901512860505726,-87.7238295793651,"(41.901512860505726, -87.72382957936509)"
57133,Vacant/Abandoned Building,17-00796160,2017-02-13,Front,,Open,,Vacant,True,False,6741.0,S,WABASH,AVE,60637.0,1177885.98010182,1860328.81721267,6.0,3.0,69.0,41.77206080466813,-87.62347567552641,"(41.772060804668136, -87.6234756755264)"
57134,Vacant/Abandoned Building,17-00693034,2017-02-07,,,,,,,,5530.0,S,BLACKSTONE,AVE,60637.0,1186859.02990521,1868588.7649151,5.0,2.0,41.0,41.79451882958865,-87.59032199047985,"(41.79451882958865, -87.59032199047985)"
57135,Vacant/Abandoned Building,17-00706169,2017-02-08,,,,,,,,1313.0,E,75TH,ST,60619.0,1186317.79271973,1855533.2278059,5.0,4.0,43.0,41.75870613810208,-87.59271896460457,"(41.75870613810208, -87.59271896460457)"
57136,Vacant/Abandoned Building,17-00601844,2017-02-01,Front,,Open,UPPER WINDOWS,Vacant,False,False,10822.0,S,INDIANA,AVE,60628.0,1179499.36969675,1833248.60788182,9.0,5.0,49.0,41.69771273591022,-87.61838613773746,"(41.697712735910216, -87.61838613773747)"
57137,Vacant/Abandoned Building,17-00478038,2017-01-26,Front,,Boarded,,Vacant,False,False,2130.0,E,71ST,ST,60649.0,1191752.48441019,1858278.58170714,5.0,3.0,43.0,41.766109490419005,-87.572712555912,"(41.76610949041901, -87.572712555912)"
57138,Vacant/Abandoned Building,17-00478044,2017-01-26,Front,,Boarded,,Vacant,False,False,2122.0,E,71ST,ST,60649.0,1191666.78441019,1858276.78170714,5.0,3.0,43.0,41.76610663026079,-87.57302672935063,"(41.7661066302608, -87.57302672935062)"
57139,Vacant/Abandoned Building,17-00481569,2017-01-26,Front,,Open,FRONT,Vacant,False,True,512.0,E,90TH,ST,60619.0,1181233.11998334,1845417.90018191,9.0,6.0,44.0,41.731067154358634,-87.61166465972433,"(41.73106715435863, -87.61166465972433)"
57140,Vacant/Abandoned Building,17-00499890,2017-01-27,,,,,,,,1518.0,E,72ND,ST,60619.0,1187634.51959284,1857554.39023231,7.0,3.0,43.0,41.76422118118383,-87.58782912314453,"(41.76422118118383, -87.58782912314453)"
57141,Vacant/Abandoned Building,17-00316484,2017-01-18,Front,,Open,NOT BOARDED UP,Vacant,False,True,1653.0,E,70TH,ST,60649.0,1188642.99987834,1858903.25010941,5.0,3.0,43.0,41.76789852366739,-87.5840897864314,"(41.76789852366739, -87.5840897864314)"
57142,Vacant/Abandoned Building,17-00046576,2017-01-03,Front,,Boarded,,Vacant,False,False,9312.0,S,KENWOOD,AVE,60619.0,1186736.38002676,1843505.51387212,8.0,4.0,47.0,41.725690972619674,-87.59156485690048,"(41.72569097261967, -87.59156485690048)"
57143,Vacant/Abandoned Building,17-00167112,2017-01-10,Front,,Open,OPEN,Vacant,True,True,1209.0,E,93RD,ST,60619.0,1185928.2176911002,1843557.46479133,8.0,4.0,47.0,41.7258526035922,-87.59452352761267,"(41.725852603592195, -87.59452352761267)"
57166,Vacant/Abandoned Building,17-00838814,2017-02-15,Front,,Boarded,,Vacant,False,False,8713.0,S,EXCHANGE,AVE,60617.0,1197279.13998056,1847764.81998962,10.0,4.0,46.0,41.73712307301681,-87.55280544174289,"(41.73712307301681, -87.55280544174289)"
57167,Vacant/Abandoned Building,17-00853999,2017-02-16,Front,,Open,,Vacant,False,False,1505.0,N,LUNA,AVE,60651.0,1139060.27942069,1909458.93878936,37.0,25.0,25.0,41.90767244693511,-87.76460819999646,"(41.90767244693511, -87.76460819999646)"
57168,Vacant/Abandoned Building,17-00738480,2017-02-10,Rear,,Open,NONE,Vacant,False,False,7335.0,S,MERRILL,AVE,60649.0,1191823.84821577,1856749.82789905,5.0,3.0,43.0,41.76191273714225,-87.5725005496561,"(41.76191273714225, -87.57250054965611)"
57169,Vacant/Abandoned Building,17-00802461,2017-02-13,Front,,Open,DOOR AND WINDOWS,Vacant,False,False,7333.0,S,LAFAYETTE,AVE,60621.0,1177102.29519434,1856379.6298994,6.0,7.0,69.0,41.76124151075704,-87.62646737490003,"(41.76124151075704, -87.62646737490003)"
57170,Vacant/Abandoned Building,17-00692702,2017-02-07,Rear,,Open,,Vacant,True,False,10722.0,S,VERNON,AVE,60628.0,1181147.1797,1833893.4991,9.0,5.0,49.0,41.699444710900345,-87.61233302157045,"(41.69944471090034, -87.61233302157046)"
57171,Vacant/Abandoned Building,17-00554192,2017-01-30,Front,,Open,FRONT DOOR,Vacant,False,True,7520.0,S,DORCHESTER,AVE,60619.0,1186845.01292116,1855410.16597408,5.0,4.0,43.0,41.75835597337461,-87.59079065799273,"(41.75835597337461, -87.59079065799273)"
57172,Vacant/Abandoned Building,17-00567050,2017-01-31,,,,,,,,826.0,N,LOCKWOOD,AVE,60651.0,1140871.84652052,1904995.25381705,37.0,15.0,25.0,41.895390420871294,-87.75806334032515,"(41.89539042087129, -87.75806334032514)"
57173,Vacant/Abandoned Building,17-00577105,2017-01-31,Front,,Open,FRONT AND BACK,Vacant,False,False,950.0,N,PULASKI,RD,60651.0,1149558.48648366,1905714.839691,37.0,11.0,23.0,41.89720078163921,-87.72614040541309,"(41.89720078163921, -87.7261404054131)"
57174,Vacant/Abandoned Building,17-00592879,2017-02-01,Front,,Open,,Vacant,False,False,10757.0,S,CHAMPLAIN,AVE,60628.0,1182515.43001584,1833753.19999854,9.0,5.0,50.0,41.69902817033207,-87.60732746353494,"(41.69902817033207, -87.60732746353493)"
57175,Vacant/Abandoned Building,17-00613948,2017-02-02,Front,,Open,FRONT AND REAR,Vacant,False,False,10918.0,S,INDIANA,AVE,60628.0,1179515.33417459,1832731.87142883,9.0,5.0,49.0,41.696294375341814,-87.61834339084714,"(41.696294375341814, -87.61834339084714)"
57176,Vacant/Abandoned Building,17-00457395,2017-01-25,Front,,Open,FRONT DOOR,Vacant,False,True,11437.0,S,CALUMET,AVE,60628.0,1180623.93406892,1829053.21788919,9.0,5.0,49.0,41.686174310402436,-87.61439682572265,"(41.686174310402436, -87.61439682572265)"
57177,Vacant/Abandoned Building,17-00546444,2017-01-30,Front,,Open,ALL AROUND,Vacant,False,True,9330.0,S,RHODES,AVE,60619.0,1181544.004113,1843218.00659416,9.0,6.0,49.0,41.7250232240936,-87.61059345575897,"(41.7250232240936, -87.61059345575897)"
57178,Vacant/Abandoned Building,17-00318240,2017-01-18,Front,,Open,FRONT AND REAR,Vacant,False,True,954.0,N,PULASKI,RD,60651.0,1149548.08631354,1906076.46359139,37.0,11.0,23.0,41.89819331684054,-87.72616920442131,"(41.89819331684054, -87.72616920442132)"
57179,Vacant/Abandoned Building,17-00337137,2017-01-19,Front,,Open,FRONT,Vacant,True,False,7541.0,S,WABASH,AVE,60619.0,1178023.21847439,1855027.10767709,6.0,6.0,69.0,41.75750922203547,-87.62313306727448,"(41.75750922203548, -87.62313306727447)"
57180,Vacant/Abandoned Building,17-00376666,2017-01-21,Front,,Open,,Vacant,False,False,958.0,N,KEYSTONE,AVE,60651.0,1149212.77360818,1906093.9550182,37.0,11.0,23.0,41.898247820342256,-87.72740033689549,"(41.89824782034226, -87.72740033689549)"
57181,Vacant/Abandoned Building,17-00412625,2017-01-23,Front,,Open,,Vacant,False,False,2231.0,E,67TH,ST,60649.0,1192167.04020631,1860978.45531829,5.0,3.0,43.0,41.77350807743647,-87.57110538932083,"(41.77350807743647, -87.57110538932083)"
57182,Vacant/Abandoned Building,17-00163670,2017-01-10,Front,,Open,FRONT DOOR AND WINDOWS,Vacant,False,True,4236.0,W,HADDON,AVE,60651.0,1147926.7971811001,1907330.35988145,37.0,11.0,23.0,41.901665471110675,-87.7320918427675,"(41.901665471110675, -87.7320918427675)"
57237,Vacant/Abandoned Building,17-00820071,2017-02-14,Front,,Open,BACK DOOR,Vacant,False,False,7319.0,S,ARTESIAN,AVE,60629.0,1161309.84917611,1856051.4908772998,18.0,8.0,66.0,41.76068257848405,-87.68435712579942,"(41.76068257848405, -87.68435712579942)"
57238,Vacant/Abandoned Building,17-00781759,2017-02-12,Rear,,Open,,Vacant,False,True,115.0,E,71ST,ST,60619.0,1178458.22741408,1857973.4824261002,6.0,3.0,69.0,41.765584534022736,-87.62144946912403,"(41.765584534022736, -87.62144946912403)"
57239,Vacant/Abandoned Building,17-00625419,2017-02-03,Front,,Open,,Vacant,False,True,922.0,N,PULASKI,RD,60651.0,1149554.28648366,1905862.1396909999,37.0,11.0,23.0,41.897605069595954,-87.72615200270269,"(41.897605069595954, -87.72615200270268)"
57240,Vacant/Abandoned Building,17-00628105,2017-02-03,,,,,,,,9008.0,S,WOODLAWN,AVE,60619.0,1185784.0000108,1845495.44000935,8.0,4.0,47.0,41.731174016530964,-87.59499090727994,"(41.731174016530964, -87.59499090727992)"
57241,Vacant/Abandoned Building,17-00571867,2017-01-31,Front,,Open,,Vacant,False,True,10814.0,S,HOXIE,AVE,60617.0,1195234.07022223,1833836.31143262,10.0,4.0,51.0,41.69895259708817,-87.56075573092535,"(41.698952597088166, -87.56075573092534)"
57242,Vacant/Abandoned Building,17-00612978,2017-02-02,Garage,,Boarded,GARAGE,Vacant,False,False,10000.0,S,ST LAWRENCE,AVE,60628.0,1182003.54010958,1838789.24671811,9.0,5.0,49.0,41.71285956105506,-87.60904666138012,"(41.71285956105506, -87.60904666138012)"
57243,Vacant/Abandoned Building,17-00450503,2017-01-25,Front,,Open,REAR SIDE DOOR,Vacant,False,True,9438.0,S,LANGLEY,AVE,60619.0,1182565.1682054,1842468.25722112,9.0,6.0,49.0,41.722942234263776,-87.60687612772276,"(41.722942234263776, -87.60687612772276)"
57244,Vacant/Abandoned Building,17-00453497,2017-01-25,,,,,,,,1139.0,E,93RD,ST,60619.0,1185540.50309634,1843546.84137161,8.0,4.0,47.0,41.72583257441803,-87.59594406623198,"(41.72583257441803, -87.59594406623198)"
57246,Vacant/Abandoned Building,17-00477502,2017-01-26,Front,,Open,FRONT DOOR,Vacant,False,False,9221.0,S,AVALON,AVE,60619.0,1186149.00519607,1844086.93219063,8.0,4.0,47.0,41.72730031770421,-87.59369811483856,"(41.72730031770421, -87.59369811483857)"
57247,Vacant/Abandoned Building,17-00496690,2017-01-27,Front,,Open,FRONT DOORS. UNLOCKED.. REAR DOORS ARE OPEN..,Vacant,False,True,7123.0,S,MICHIGAN,AVE,60619.0,1178396.12741408,1857816.8824261,6.0,3.0,69.0,41.76515621673675,-87.62168183302836,"(41.76515621673675, -87.62168183302836)"
57248,Vacant/Abandoned Building,17-00496982,2017-01-27,Front,,Open,FRONT AND REAR DOORS..,Vacant,False,True,7129.0,S,MICHIGAN,AVE,60619.0,1178397.12741408,1857776.6824261001,6.0,3.0,69.0,41.76504588085761,-87.62167938681883,"(41.76504588085761, -87.62167938681883)"
57249,Vacant/Abandoned Building,17-00526605,2017-01-29,Front,,Open,FRONT DOOR,Vacant,False,True,7118.0,S,MICHIGAN,AVE,60619.0,1178395.32741408,1857850.3824261,6.0,3.0,69.0,41.76524816254431,-87.62168374936476,"(41.76524816254431, -87.62168374936476)"
57250,Vacant/Abandoned Building,17-00558452,2017-01-30,Front,,Open,BACK,Vacant,False,False,9148.0,S,DREXEL,AVE,,1184156.08713061,1844424.43987242,8.0,4.0,47.0,41.72827323642604,-87.60098785908548,"(41.72827323642604, -87.60098785908549)"
57252,Vacant/Abandoned Building,17-00051839,2017-01-03,Front,,Open,,Vacant,False,True,10809.0,S,AVENUE N,,60617.0,1201200.59380793,1833891.89058326,10.0,4.0,52.0,41.698956165790186,-87.53890774184231,"(41.698956165790186, -87.53890774184231)"
57253,Vacant/Abandoned Building,17-00063417,2017-01-04,Front,,Open,ALL OVER,Vacant,False,False,7128.0,S,LAFAYETTE,AVE,60621.0,1177077.80870602,1857592.39988589,6.0,7.0,69.0,41.76457004049533,-87.62652059595995,"(41.76457004049533, -87.62652059595995)"
57278,Vacant/Abandoned Building,17-00890960,2017-02-17,Front,,Open,,Vacant,False,False,4903.0,W,WALTON,ST,60651.0,1143498.44501114,1905863.10328345,37.0,15.0,25.0,41.89772316721114,-87.74839462856838,"(41.89772316721114, -87.74839462856839)"
57279,Vacant/Abandoned Building,17-00574344,2017-01-31,Front,,Open,FRONT DOOR,Vacant,False,False,531.0,E,87TH,ST,60619.0,1181381.5597702,1847419.3945875,9.0,6.0,44.0,41.736556073564074,-87.6110593456222,"(41.73655607356408, -87.6110593456222)"
57280,Vacant/Abandoned Building,17-00616645,2017-02-02,Rear,,Open,,Vacant,False,True,8740.0,S,EXCHANGE,AVE,60617.0,1197283.43998056,1847583.91998962,10.0,4.0,46.0,41.73662656205215,-87.55279569898056,"(41.736626562052145, -87.55279569898057)"
57281,Vacant/Abandoned Building,17-00496887,2017-01-27,Front,,Open,FRONT DOORS AND REAR..,Vacant,False,True,7131.0,S,MICHIGAN,AVE,60619.0,1178397.42741408,1857763.2824261002,6.0,3.0,69.0,41.765009102987534,-87.62167869359241,"(41.76500910298754, -87.62167869359241)"
57282,Vacant/Abandoned Building,17-00546494,2017-01-30,Front,,Open,,Vacant,False,True,9801.0,S,AVENUE L,,60617.0,1201797.359799,1840729.93449175,10.0,4.0,52.0,41.71770519519646,-87.53649103001983,"(41.71770519519646, -87.53649103001985)"
57283,Vacant/Abandoned Building,17-00564999,2017-01-31,Front,,Open,FRONT,Occupied,True,True,8812.0,S,EXCHANGE,AVE,60617.0,1197295.09871622,1847107.78118262,10.0,4.0,46.0,41.735319709041455,-87.55276880704405,"(41.735319709041455, -87.55276880704405)"
57294,Vacant/Abandoned Building,17-00960435,2017-02-20,Rear,,Open,REAR,Vacant,True,False,5330.0,S,BISHOP,ST,60609.0,1167571.93317367,1869397.23331168,20.0,9.0,61.0,41.7971730341041,-87.66102383800349,"(41.7971730341041, -87.66102383800349)"
57295,Vacant/Abandoned Building,17-00687630,2017-02-07,Front,,Open,REAR DOORS,Vacant,False,True,8400.0,S,ESCANABA,AVE,60617.0,1196946.00003234,1849832.89009641,10.0,4.0,46.0,41.74280630443615,-87.55395732244702,"(41.74280630443615, -87.55395732244702)"
57296,Vacant/Abandoned Building,17-00706366,2017-02-08,,,,,,,,8548.0,S,EXCHANGE,AVE,60617.0,1197296.74421719,1848857.82217837,10.0,4.0,46.0,41.74012191861121,-87.55270462355027,"(41.74012191861121, -87.55270462355026)"
57297,Vacant/Abandoned Building,17-00638353,2017-02-03,Front,,Open,,Vacant,False,True,712.0,E,75TH,ST,60619.0,1182320.19012133,1855440.90739162,6.0,3.0,69.0,41.75854630899529,-87.60737259885065,"(41.75854630899529, -87.60737259885065)"
57298,Vacant/Abandoned Building,17-00206072,2017-01-12,Rear,,Open,REAR AND FRONT WINDOW,Vacant,False,False,8230.0,S,DOBSON,AVE,60619.0,1184667.911625,1850627.67185,8.0,6.0,44.0,41.74528361434621,-87.59891905480231,"(41.74528361434621, -87.59891905480231)"
57299,Vacant/Abandoned Building,17-00349488,2017-01-19,Front,,Open,,Vacant,False,True,1721.0,E,85TH,ST,60617.0,1189200.01587978,1848961.11199414,8.0,4.0,45.0,41.74060307016144,-87.58236619671403,"(41.74060307016144, -87.58236619671405)"
57300,Vacant/Abandoned Building,17-00183515,2017-01-11,Front,,Open,BROKEN WINDOW AT THE SIDE,Vacant,False,False,7400.0,S,MARYLAND,AVE,60619.0,1183181.58416586,1856132.00652071,8.0,3.0,69.0,41.760422764058546,-87.60419422199362,"(41.76042276405855, -87.60419422199362)"
57313,Vacant/Abandoned Building,17-00955353,2017-02-20,Rear,,Open,DOOR RAR,Vacant,False,True,1023.0,N,SPRINGFIELD,AVE,60651.0,1150198.44369909,1906545.52802041,37.0,11.0,23.0,41.899467822240595,-87.72376823550462,"(41.89946782224059, -87.72376823550462)"
57314,Vacant/Abandoned Building,17-00106366,2017-01-06,Front,,Open,ALL AROUND,Vacant,False,False,7512.0,S,EBERHART,AVE,60619.0,1180875.96269711,1855313.85759596,6.0,6.0,69.0,41.75823099300858,-87.61266943215811,"(41.758230993008574, -87.61266943215811)"
57315,Vacant/Abandoned Building,17-00334388,2017-01-19,Rear,,Open,,Vacant,False,False,2811.0,E,77TH,ST,60649.0,1196208.17868076,1854446.40482604,7.0,4.0,43.0,41.75548444452418,-87.55650804534288,"(41.75548444452418, -87.55650804534287)"
57317,Vacant/Abandoned Building,17-00046778,2017-01-03,Front,,Boarded,,Vacant,False,False,7603.0,S,RHODES,AVE,60619.0,1181221.32179493,1854719.75419199,6.0,6.0,69.0,41.75659276399092,-87.61142200667852,"(41.756592763990916, -87.61142200667852)"
57341,Vacant/Abandoned Building,17-00872210,2017-02-16,Rear,,Open,REAR ENTRY UNDER PORCH,Vacant,False,True,1231.0,N,HARDING,AVE,60651.0,1149826.08941441,1907916.09157205,37.0,25.0,23.0,41.903236038454,-87.72510020858749,"(41.90323603845399, -87.72510020858748)"
57342,Vacant/Abandoned Building,17-00798852,2017-02-13,Front,,Open,,Vacant,False,True,7028.0,S,CARPENTER,ST,60621.0,1170527.85058781,1858212.22627723,6.0,7.0,68.0,41.76641610867964,-87.65050984221735,"(41.76641610867964, -87.65050984221735)"
57343,Vacant/Abandoned Building,17-00551008,2017-01-30,,,,,,,,2121.0,W,19TH,ST,60608.0,1162530.91961286,1890722.9814127,25.0,12.0,31.0,41.8557999839859,-87.6789142218893,"(41.8557999839859, -87.6789142218893)"
57344,Vacant/Abandoned Building,17-00596098,2017-02-01,Front,,Boarded,,Vacant,False,False,6514.0,S,SANGAMON,ST,60621.0,1171095.58859239,1861636.51852288,6.0,7.0,68.0,41.775800396236505,-87.6483289077083,"(41.775800396236505, -87.6483289077083)"
57345,Vacant/Abandoned Building,17-00410155,2017-01-23,,,,,,,,1418.0,S,SAWYER,AVE,60623.0,1154926.01988927,1893000.91413115,24.0,10.0,29.0,41.8622065456948,-87.7067670065669,"(41.8622065456948, -87.7067670065669)"
57346,Vacant/Abandoned Building,17-00414028,2017-01-23,Front,,Open,FRONT AND REAR,Vacant,False,True,2009.0,W,21ST,ST,60608.0,1163297.87726776,1890075.97233083,25.0,12.0,31.0,41.854008453327815,-87.67611729149391,"(41.854008453327815, -87.67611729149391)"
57347,Vacant/Abandoned Building,17-00458001,2017-01-25,Front,,Open,BACK AND SIDE,Vacant,False,False,1304.0,E,73RD,ST,60619.0,1186183.54738136,1856862.01938056,8.0,3.0,43.0,41.76235563713811,-87.59316905619073,"(41.76235563713811, -87.59316905619073)"
57351,Vacant/Abandoned Building,17-00167744,2017-01-10,Rear,,Open,FRONT -REAR-DOORS ARE OPEN,Vacant,False,True,2631.0,W,23RD,PL,60608.0,1159192.92147444,1888301.27001428,12.0,10.0,30.0,41.849223709229854,-87.69123279257498,"(41.849223709229854, -87.69123279257497)"
57377,Vacant/Abandoned Building,17-01101202,2017-02-27,Front,,Open,,Vacant,False,False,8424.0,S,GILBERT,CT,60620.0,1172798.89001047,1848667.45998352,21.0,6.0,71.0,41.74017428629148,-87.64246658972094,"(41.74017428629148, -87.64246658972093)"
57378,Vacant/Abandoned Building,17-00769507,2017-02-11,Front,,Boarded,,Vacant,False,False,3759.0,S,PARNELL,AVE,60609.0,1173247.01840798,1879982.65906994,11.0,9.0,60.0,41.826096790699246,-87.63989941894224,"(41.826096790699246, -87.63989941894225)"
57379,Vacant/Abandoned Building,17-00807551,2017-02-13,Rear,,Open,2 FL IS OPEN,Vacant,False,False,7252.0,S,EMERALD,AVE,60621.0,1172598.89000799,1856783.18842778,6.0,7.0,68.0,41.76244928773068,-87.64296077051132,"(41.76244928773068, -87.64296077051132)"
57380,Vacant/Abandoned Building,17-00677951,2017-02-06,Front,,Open,,Vacant,False,False,6527.0,S,CARPENTER,ST,60621.0,1170435.76743261,1861531.44791438,6.0,7.0,68.0,41.775526466716336,-87.65075080419477,"(41.775526466716336, -87.65075080419476)"
57381,Vacant/Abandoned Building,17-00680628,2017-02-06,,,Open,,Vacant,True,True,2993.0,S,LYMAN,ST,60608.0,1168913.65998786,1884964.47106751,11.0,9.0,60.0,41.83986223893097,-87.65565332546646,"(41.83986223893097, -87.65565332546646)"
57382,Vacant/Abandoned Building,17-00436540,2017-01-24,Front,,Open,BACK,Vacant,False,False,7931.0,S,DANTE,AVE,,1187229.9700886998,1852688.42999924,8.0,4.0,45.0,41.75087814673552,-87.58946608936779,"(41.75087814673552, -87.5894660893678)"
57383,Vacant/Abandoned Building,17-00473559,2017-01-26,Rear,,Open,BACK DOOR AND WINDOWS,Vacant,False,False,8013.0,S,WOODLAWN,AVE,60619.0,1185604.5509795,1852105.74380489,8.0,4.0,45.0,41.74931760575322,-87.59544064920394,"(41.74931760575322, -87.59544064920394)"
57384,Vacant/Abandoned Building,17-00474899,2017-01-26,Rear,,Open,,Vacant,False,True,7939.0,S,ELLIS,AVE,60619.0,1184269.80307806,1852568.37978129,8.0,6.0,44.0,41.75061843376695,-87.6003171949442,"(41.750618433766945, -87.60031719494418)"
57385,Vacant/Abandoned Building,17-00595726,2017-02-01,Front,,Boarded,,Vacant,False,True,6640.0,W,HIGGINS,AVE,60656.0,1130912.90889295,1935125.69482415,41.0,16.0,10.0,41.97824928327453,-87.79394450221065,"(41.97824928327453, -87.79394450221066)"
57386,Vacant/Abandoned Building,17-00316446,2017-01-18,,,,,,,,210.0,W,30TH,ST,60616.0,1175300.98003161,1884962.43999919,11.0,9.0,34.0,41.83971598170759,-87.63221481864612,"(41.83971598170759, -87.63221481864612)"
57387,Vacant/Abandoned Building,17-00389527,2017-01-22,Rear,,Open,,Vacant,False,True,7933.0,S,DANTE,AVE,60619.0,1187230.2700886999,1852675.02999924,8.0,4.0,45.0,41.7508413687313,-87.58946541457279,"(41.7508413687313, -87.5894654145728)"
